iter	Passed	Remaining
0	257	256801
1	261	130269
2	267	88843
3	270	67336
4	273	54376
5	275	45719
6	279	39583
7	282	35056
8	286	31507
9	288	28601
10	291	26221
11	294	24265
12	298	22662
13	301	21221
14	304	19967
15	307	18881
16	310	17946
17	314	17132
18	316	16365
19	319	15663
20	323	15060
21	326	14522
22	329	14006
23	332	13537
24	336	13118
25	340	12742
26	344	12399
27	346	12040
28	349	11712
29	353	11439
30	356	11155
31	359	10878
32	362	10617
33	365	10383
34	369	10186
35	372	9968
36	374	9759
37	378	9572
38	381	9398
39	384	9235
40	387	9064
41	390	8904
42	393	8755
43	396	8614
44	399	8481
45	402	8344
46	405	8217
47	408	8098
48	411	7987
49	414	7872
50	417	7765
51	420	7657
52	423	7560
53	426	7480
54	429	7382
55	432	7290
56	435	7202
57	438	7124
58	441	7047
59	444	6964
60	447	6888
61	450	6815
62	454	6757
63	457	6689
64	461	6639
65	464	6576
66	471	6564
67	473	6488
68	476	6431
69	479	6368
70	482	6309
71	486	6265
72	488	6209
73	491	6155
74	495	6106
75	498	6057
76	502	6022
77	505	5974
78	508	5928
79	511	5883
80	516	5855
81	518	5808
82	521	5762
83	524	5716
84	526	5663
85	529	5624
86	531	5579
87	534	5538
88	537	5497
89	539	5459
90	543	5427
91	546	5397
92	549	5361
93	552	5324
94	555	5288
95	558	5258
96	561	5229
97	564	5195
98	567	5161
99	569	5129
100	573	5100
101	575	5062
102	577	5031
103	580	5000
104	583	4970
105	586	4943
106	589	4923
107	592	4894
108	595	4866
109	598	4838
110	601	4813
111	604	4796
112	607	4769
113	610	4744
114	613	4722
115	619	4723
116	624	4713
117	627	4691
118	630	4664
119	633	4645
120	636	4622
121	639	4599
122	640	4566
123	643	4544
124	646	4524
125	649	4506
126	652	4486
127	654	4458
128	657	4436
129	660	4418
130	664	4406
131	667	4388
132	670	4370
133	673	4350
134	676	4333
135	679	4318
136	682	4299
137	684	4276
138	687	4258
139	690	4242
140	694	4230
141	697	4212
142	699	4193
143	702	4175
144	705	4160
145	709	4148
146	711	4131
147	714	4113
148	717	4096
149	720	4082
150	724	4076
151	727	4061
152	730	4045
153	733	4029
154	736	4017
155	739	4003
156	742	3987
157	745	3972
158	748	3956
159	752	3951
